file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00236_0096_819923_to_827653,འདུག་ཅེས་ལན་བཏབ། ཚེ་བརྟན་ལྷ་མོས་ཨ་ཁུ་རྡོ་རྗེ་ཡོང་དོན་ཧ་ལམ་རྟོགས་ཙང་སེམས་པ་འཚབ་ལ་དགའ་སྣང་ཡང་བྱུང་ཞིང་ ,'dug ces lan btab/_tshe brtan lha mos a khu rdo rje yong don ha lam rtogs tsang sems pa 'tshab la dga' snang yang byung zhing _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0096_819923_to_827653.wav,STT_AB,2,101,7.73,wav16k/STT_AB00236_0096_819923_to_827653.wav,མི་འདུག་ཅེས་ལན་བཏབ། ཚེ་བརྟན་ལྷ་མོས་ཨ་ཁུ་རྡོ་རྗེ་ཡོང་དོན་ཧ་ལམ་རྟོགས་ཙང་སེམས་པ་ཚབ་ལ་དགའ་སྣང་ཡང་བྱུང་ཞིང་།
STT_AB00236_0085_726331_to_737640,གཞི་འདིང་བཞིན་ཡོད་པས་ཁོའི་པུས་མོ་གཉིས་དང་གཡས་གཡོན་དུ་ར་སྤུས་ཁེངས་ཡོད་པ་དང་དེའི་གཡོན་ངོས་སུ་གདན་ཀྱོང་གདན་ཞིག་བཏིངས་པའི་མགོ་དེར་སྒྲོལ་མ་ཤིང་ཕོར་ཞིག་གི་ནང་ ,gzhi 'ding bzhin yod pas kho'i pus mo gnyis dang g.yas g.yon du ra spus khengs yod pa dang de'i g.yon ngos su gdan kyong gdan zhig btings pa'i mgo der sgrol ma shing phor zhig gi nang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0085_726331_to_737640.wav,STT_AB,2,153,11.309,wav16k/STT_AB00236_0085_726331_to_737640.wav,ིལྡིང་ཞིག་ཡོད་པས་ཁོའི་དཔུན་མོ་གཉིས་དང་གཡས་གཡོན་དུ་ར་བུས་ཁེངས་ཡོད་པ་དང་དེའི་གཡོན་ངོས་སོགས་གདན་སྐྱོང་གདན་ཞིག་བཏིང་པའི་སྒོ་དེར་སྒྲོལ་མ་གཤིན་ཕོར་ཞིག་གི་ནང་
STT_AB00236_0086_737640_to_748950,ཞོ་འདག་བཞིན་ཡོད་ལ་གཤམ་དེར་སྤུན་འཁེལ་འཕྲོ་བཞག་ཡོད་པ་དེ་ནི་ཚེ་བརྟན་ལྷ་མོའི་ལས་ཀ་བྱེད་འཕྲོ་ཡིན་པ་རེད། ཚེ་བརྟན་ལྷ་མོས་ཨ་ཁུ་རྡོ་རྗེའི་སྒལ་པ་ནས་སྦུབ་རིལ་འབེབས་རོགས་བྱས་པ་དང་ ,zho 'dag bzhin yod la gsham der spun 'khel 'phro bzhag yod pa de ni tshe brtan lha mo'i las ka byed 'phro yin pa red/_tshe brtan lha mos a khu rdo rje'i sgal pa nas sbub ril 'bebs rogs byas pa dang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0086_737640_to_748950.wav,STT_AB,2,168,11.31,wav16k/STT_AB00236_0086_737640_to_748950.wav,ཞོ་འད་བཞིན་ཡོད་ལ་ གཤམ་དེར་སྤུན་མཁས་འགྲོས་བཞག་ཡོད་པ་དེ་ནི་ཚེ་བརྟན་ལྷ་མོའི་ལས་ཀ་བྱེད་འགྲོད་ཡིན་པ་རེད། ཚེ་བརྟན་ལྷ་མོས་ཨ་ཁུ་རྡོ་རྗེའི་སྒལ་པ་ནས་སྦུབ་རིལ་འབབ་རོགས་བྱས་པ་དང་
STT_AB00236_0090_777101_to_787824,ཕྲན་ཙམ་ཟ་རུས་གཅུས་ཏེ་དངུལ་ཤན་བརྒྱབ་པའི་ཕོར་པ་ཞིག་གི་ནང་དུ་བླུགས་རྗེས་རྩམ་པ་དེ་ནས་ཡས་བཟེད་ཅིག་བརྒྱབ་པ་དང་ཆང་སྣོད་ལན་མོ་ལས་ཆང་གང་བླུགས་ཏེ་རྡོ་རྗེར་སྤྲོད་བཞིན་འདུག ,phran tsam za rus gcus te dngul shan brgyab pa'i phor pa zhig gi nang du blugs rjes rtsam pa de nas yas bzed cig brgyab pa dang chang snod lan mo las chang gang blugs te rdo rjer sprod bzhin 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0090_777101_to_787824.wav,STT_AB,2,161,10.723,wav16k/STT_AB00236_0090_777101_to_787824.wav,ཕྲན་ཙམ་ཟ་རུས་བཅུས་ཏེ་དངུལ་ཤན་བརྒྱབ་པའི་ཕོར་པ་ཞིག་གི་ནང་དུ་བླུགས་རྗེས་རྩམ་པ་དེ་ནས་ཡས་གཟིག་གཅིག་བརྒྱབ་པ་དང་ཆང་སྣོད་ལད་མོ་ལས་ཆང་གང་བླུགས་ཏེ་རྡོ་རྗེར་སྤྲོད་བཞིན་དུ་
STT_AB00236_0091_788506_to_792056,བཞེས་དང་། དེང་ཙང་གནམ་གཤིས་ཚ་དྲོད་ཆེན་པོ་ཡོད་ཙང་ ,bzhes dang /_deng tsang gnam gshis tsha drod chen po yod tsang _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0091_788506_to_792056.wav,STT_AB,2,48,3.55,wav16k/STT_AB00236_0091_788506_to_792056.wav,བཞེས་དང་། དེང་སང་གནམ་གཤིས་ཚ་དྲོད་ཆེན་པོ་ཡོད་ཙང་
STT_AB00236_0092_792363_to_797431,ཆང་ལམ་སང་སྐྱུར་མོ་ཆགས་འགྲོ་གི་ཞེས་རང་ཉིད་ཀྱི་ཆང་ཞིམ་པོ་མེད་པ་རང་གི་དག་སེལ་བྱས།  ,chang lam sang skyur mo chags 'gro gi zhes rang nyid kyi chang zhim po med pa rang gi dag sel byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0092_792363_to_797431.wav,STT_AB,2,80,5.068,wav16k/STT_AB00236_0092_792363_to_797431.wav,ཆང་ལམ་སེང་སྐྱུ་མོ་ཆགས་འགྲོ་གི་ཞེས་རང་ཉིད་ཀྱི་ཆང་ཞིམ་པོ་མེད་པ་རང་གི་དག་སེལ་བྱས།
STT_AB00237_0027_205947_to_211168,ཞྭ་མོ་སོག་ཞྭ། ལྷམ་སྣ་ཀེར་བཅས་གྱོན་ཞིང་སྐེད་པར་རྒྱ་གྲི་ཕོར་ཤུབ་བཏག ,zhwa mo sog zhwa/_lham sna ker bcas gyon zhing sked par rgya gri phor shub btag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00237_0027_205947_to_211168.wav,STT_AB,2,66,5.221,wav16k/STT_AB00237_0027_205947_to_211168.wav,ཞྭ་མོ་གསོག་ཞག ལྷམ་སྣ་སྒེར་བཅས་གྱོན་ཞིང་སྐེད་པར་རྒྱ་གྲི་ཕོར་ཤུབ་བཏགས།
STT_AB00236_0110_932073_to_938438,ང་ཚོའི་ཨ་མ་ལགས་ངི་རང་ཡུལ་སྟོང་པར་བཞག་བྱས་མི་ཡུལ་འོད་ཀྱིས་བརྒྱང་གར་ཕེབས་སོང་ཞེས་སྨྲས་པ་དང་དོན་གྲུབ་ཀྱིས་ ,nga tsho'i a ma lags ngi rang yul stong par bzhag byas mi yul 'od kyis brgyang gar phebs song zhes smras pa dang don grub kyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0110_932073_to_938438.wav,STT_AB,2,104,6.365,wav16k/STT_AB00236_0110_932073_to_938438.wav,ང་ཚོའི་ཨ་མ་ལགས་ནི་རང་ཡུལ་སྟོང་པར་བཞག་བྱས་མི་ཡུལ་འོད་ཀྱིས་རྒྱང་གར་ཕེབས་སོང་ཞེས་སྨྲས་པ་དང་དོན་གྲུབ་ཀྱིས་
STT_AB00236_0089_766379_to_777101,བྱས་ཤིག་ཞེས་བཤད་དེ་དོན་གྲུབ་འཁྲིས་ཀྱི་ཤུར་ལྕོག་ནང་ནས་དཀར་ཡོལ་བཏོན་ཏེ་ཇ་བསྲུབས་མ་གང་བླུགས་པ་དང་དེ་ནས་འཁྲིས་ཀྱི་རྩམ་པ་ཁེངས་པ་བླུགས་པའི་ཞིབ་ཟོ་ནས་རྩམ་པ་ ,byas shig zhes bshad de don grub 'khris kyi shur lcog nang nas dkar yol bton te ja bsrubs ma gang blugs pa dang de nas 'khris kyi rtsam pa khengs pa blugs pa'i zhib zo nas rtsam pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0089_766379_to_777101.wav,STT_AB,2,150,10.722,wav16k/STT_AB00236_0089_766379_to_777101.wav,བྱིས་ཤིག་ཅེས་བཤད་དེ་དོན་གྲུབ་འཁྲིས་ཀྱི་ཤུག་ྱོག་ནང་ནས་དཀར་ཡོལ་བཏོན་ཏེ་ཇ་བསུབ་མ་གང་བླུགས་པ་དང་ དེ་ནས་འཁྲིས་ཀྱི་རྩམ་པ་ཁེངས་པ་བླུགས་པའི་ཞིབ་བཟོ་ནས་རྩམ་པ་
STT_AB00236_0093_798284_to_804308,དོན་གྲུབ་ཀྱིས་ར་སྤུར་མཆིལ་མ་ཕྲན་ཙམ་འདོར་ཏེ་ལག་པས་ལྕག་ཙམ་བྱས་རྗེས་རྡོ་རྗེར་ཁ་གཏད་དེ་ ,don grub kyis ra spur mchil ma phran tsam 'dor te lag pas lcag tsam byas rjes rdo rjer kha gtad de _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00236_0093_798284_to_804308.wav,STT_AB,2,84,6.024,wav16k/STT_AB00236_0093_798284_to_804308.wav,དོན་གྲུབ་ཀྱིས་ར་སྦུར་མཆིལ་མ་ཕྲན་ཙམ་གཏོར་ཏེ་ལག་པས་ལྕགས་ཙམ་བྱས་རྗེས་རྡོ་རྗེར་ཁ་གཏད་དེ་
